deviceName,pm10,pm25,co2,tvoc,temperature,humidity,checkDateTime
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,39,2023/12/11 14:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,39,2023/12/11 15:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,39,2023/12/11 16:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,39,2023/12/11 17:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,41,2023/12/11 18:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,39,2023/12/11 19:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,39,2023/12/11 20:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,39,2023/12/11 21:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,39,2023/12/11 22:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,39,2023/12/11 23:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,37,2023/12/12 0:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,36,2023/12/12 1:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,36,2023/12/12 2:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,34,2023/12/12 3:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,33,2023/12/12 4:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,33,2023/12/12 5:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,31,2023/12/12 6:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,31,2023/12/12 7:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,31,2023/12/12 8:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,29,2023/12/12 9:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,31,2023/12/12 10:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,31,2023/12/12 11:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,31,2023/12/12 12:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,31,2023/12/12 13:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,31,2023/12/12 14:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,33,2023/12/12 15:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,33,2023/12/12 16:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,31,2023/12/12 17:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,31,2023/12/12 18:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,31,2023/12/12 19:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,31,2023/12/12 20:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,31,2023/12/12 21:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,31,2023/12/12 22:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,31,2023/12/12 23:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,31,2023/12/13 0:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,31,2023/12/13 1:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,31,2023/12/13 2:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,31,2023/12/13 3:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,31,2023/12/13 4:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,31,2023/12/13 5:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,31,2023/12/13 6:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,31,2023/12/13 7:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,31,2023/12/13 8:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,31,2023/12/13 9:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,31,2023/12/13 10:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,31,2023/12/13 11:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,31,2023/12/13 12:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,33,2023/12/13 13:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,33,2023/12/13 14:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,34,2023/12/13 15:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,34,2023/12/13 16:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,34,2023/12/13 17:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,34,2023/12/13 18:04
